,Current,Fully Paid,Charged Off,Late (31-120 days),In Grace Period,Late (16-30 days),Default,Sum,Good Loans,Bad Loans,Good Rate
0.0-0.02,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0.02-0.04,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0.04-0.06,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0.06-0.08,842,144,16,8,2,1,1,1014.0,986,28.0,0.972385628811017
0.08-0.1,639,58,5,6,1,0,1,710.0,697,13.0,0.9816887581848477
0.1-0.12,1071,105,8,14,7,2,0,1207.0,1176,31.0,0.9743156799372992
0.12-0.14,1403,187,49,13,5,4,3,1664.0,1590,74.0,0.9555282719181059
0.14-0.16,1545,181,38,27,10,4,5,1810.0,1726,84.0,0.9535906333753407
0.16-0.18,1008,109,31,25,7,3,1,1184.0,1117,67.0,0.9434113653620225
0.18-0.2,772,82,35,20,7,4,1,921.0,854,67.0,0.9272519790966568
0.2-0.22,417,39,20,12,5,1,2,496.0,456,40.0,0.9193529851754332
0.22-0.24,297,33,14,14,3,2,2,365.0,330,35.0,0.9041071120353096
0.24-0.26,123,13,2,8,1,0,0,147.0,136,11.0,0.9251637743960925
0.26-0.28,5,0,0,1,0,0,0,6.0,5,1.0,0.8331944675887352
0.28-0.3,0,0,0,0,0,0,0,0.0,0,0.0,0.0
