,Current,Fully Paid,Charged Off,In Grace Period,Sum,Good Loans,Bad Loans,Good Rate
car,68,12,0,0,81.0,80,1.0,98.77 %
credit_card,1957,180,30,7,2214.0,2137,77.0,96.52 %
debt_consolidation,4829,556,142,32,5665.0,5385,280.0,95.06 %
home_improvement,415,64,4,1,497.0,479,18.0,96.38 %
house,39,12,2,0,55.0,51,4.0,92.73 %
major_purchase,153,28,2,1,189.0,181,8.0,95.77 %
medical,56,9,4,2,72.0,65,7.0,90.28 %
moving,39,9,1,0,50.0,48,2.0,96.00 %
other,350,53,16,3,431.0,403,28.0,93.50 %
renewable_energy,10,1,1,0,12.0,11,1.0,91.67 %
small_business,111,18,10,1,147.0,129,18.0,87.76 %
vacation,42,6,2,0,50.0,48,2.0,96.00 %
wedding,53,3,4,1,61.0,56,5.0,91.80 %
